param_metric,param_n_neighbors,param_p,param_weights,mean_test_f1_micro,mean_test_accuracy,mean_test_precision,mean_test_recall
euclidean,1,1,uniform,0.636,0.636,0.645,0.641
euclidean,1,1,distance,0.636,0.636,0.645,0.641
euclidean,1,2,uniform,0.636,0.636,0.645,0.641
euclidean,1,2,distance,0.636,0.636,0.645,0.641
euclidean,2,1,uniform,0.620,0.620,0.716,0.420
euclidean,2,1,distance,0.635,0.635,0.645,0.636
euclidean,2,2,uniform,0.620,0.620,0.716,0.420
euclidean,2,2,distance,0.635,0.635,0.645,0.636
euclidean,3,1,uniform,0.659,0.659,0.669,0.650
euclidean,3,1,distance,0.648,0.648,0.660,0.632
euclidean,3,2,uniform,0.659,0.659,0.669,0.650
euclidean,3,2,distance,0.648,0.648,0.660,0.632
euclidean,4,1,uniform,0.663,0.663,0.728,0.541
euclidean,4,1,distance,0.674,0.674,0.687,0.660
euclidean,4,2,uniform,0.663,0.663,0.728,0.541
euclidean,4,2,distance,0.674,0.674,0.687,0.660
euclidean,5,1,uniform,0.673,0.673,0.686,0.660
euclidean,5,1,distance,0.667,0.667,0.678,0.657
euclidean,5,2,uniform,0.673,0.673,0.686,0.660
euclidean,5,2,distance,0.667,0.667,0.678,0.657
euclidean,6,1,uniform,0.686,0.686,0.744,0.585
euclidean,6,1,distance,0.673,0.673,0.687,0.655
euclidean,6,2,uniform,0.686,0.686,0.744,0.585
euclidean,6,2,distance,0.673,0.673,0.687,0.655
euclidean,7,1,uniform,0.691,0.691,0.705,0.674
euclidean,7,1,distance,0.668,0.668,0.680,0.655
euclidean,7,2,uniform,0.691,0.691,0.705,0.674
euclidean,7,2,distance,0.668,0.668,0.680,0.655
euclidean,8,1,uniform,0.696,0.696,0.746,0.611
euclidean,8,1,distance,0.675,0.675,0.687,0.662
euclidean,8,2,uniform,0.696,0.696,0.746,0.611
euclidean,8,2,distance,0.675,0.675,0.687,0.662
euclidean,9,1,uniform,0.700,0.700,0.714,0.685
euclidean,9,1,distance,0.676,0.676,0.692,0.657
euclidean,9,2,uniform,0.700,0.700,0.714,0.685
euclidean,9,2,distance,0.676,0.676,0.692,0.657
euclidean,10,1,uniform,0.715,0.715,0.764,0.639
euclidean,10,1,distance,0.688,0.688,0.706,0.662
euclidean,10,2,uniform,0.715,0.715,0.764,0.639
euclidean,10,2,distance,0.688,0.688,0.706,0.662
euclidean,11,1,uniform,0.717,0.717,0.738,0.685
euclidean,11,1,distance,0.691,0.691,0.713,0.655
euclidean,11,2,uniform,0.717,0.717,0.738,0.685
euclidean,11,2,distance,0.691,0.691,0.713,0.655
euclidean,12,1,uniform,0.717,0.717,0.763,0.643
euclidean,12,1,distance,0.694,0.694,0.719,0.655
euclidean,12,2,uniform,0.717,0.717,0.763,0.643
euclidean,12,2,distance,0.694,0.694,0.719,0.655
euclidean,13,1,uniform,0.713,0.713,0.740,0.671
euclidean,13,1,distance,0.691,0.691,0.717,0.646
euclidean,13,2,uniform,0.713,0.713,0.740,0.671
euclidean,13,2,distance,0.691,0.691,0.717,0.646
euclidean,14,1,uniform,0.730,0.730,0.782,0.648
euclidean,14,1,distance,0.695,0.695,0.723,0.648
euclidean,14,2,uniform,0.730,0.730,0.782,0.648
euclidean,14,2,distance,0.695,0.695,0.723,0.648
euclidean,15,1,uniform,0.720,0.720,0.752,0.671
euclidean,15,1,distance,0.697,0.697,0.726,0.646
euclidean,15,2,uniform,0.720,0.720,0.752,0.671
euclidean,15,2,distance,0.697,0.697,0.726,0.646
euclidean,16,1,uniform,0.726,0.726,0.775,0.650
euclidean,16,1,distance,0.705,0.705,0.732,0.660
euclidean,16,2,uniform,0.726,0.726,0.775,0.650
euclidean,16,2,distance,0.705,0.705,0.732,0.660
euclidean,17,1,uniform,0.728,0.728,0.759,0.681
euclidean,17,1,distance,0.702,0.702,0.732,0.653
euclidean,17,2,uniform,0.728,0.728,0.759,0.681
euclidean,17,2,distance,0.702,0.702,0.732,0.653
euclidean,18,1,uniform,0.725,0.725,0.775,0.646
euclidean,18,1,distance,0.700,0.700,0.729,0.650
euclidean,18,2,uniform,0.725,0.725,0.775,0.646
euclidean,18,2,distance,0.700,0.700,0.729,0.650
euclidean,19,1,uniform,0.717,0.717,0.750,0.662
euclidean,19,1,distance,0.700,0.700,0.732,0.646
euclidean,19,2,uniform,0.717,0.717,0.750,0.662
euclidean,19,2,distance,0.700,0.700,0.732,0.646
euclidean,20,1,uniform,0.725,0.725,0.773,0.648
euclidean,20,1,distance,0.701,0.701,0.730,0.653
euclidean,20,2,uniform,0.725,0.725,0.773,0.648
euclidean,20,2,distance,0.701,0.701,0.730,0.653
euclidean,21,1,uniform,0.720,0.720,0.748,0.676
euclidean,21,1,distance,0.704,0.704,0.730,0.660
euclidean,21,2,uniform,0.720,0.720,0.748,0.676
euclidean,21,2,distance,0.704,0.704,0.730,0.660
manhattan,1,1,uniform,0.616,0.616,0.625,0.618
manhattan,1,1,distance,0.616,0.616,0.625,0.618
manhattan,1,2,uniform,0.616,0.616,0.625,0.618
manhattan,1,2,distance,0.616,0.616,0.625,0.618
manhattan,2,1,uniform,0.614,0.614,0.712,0.413
manhattan,2,1,distance,0.616,0.616,0.626,0.615
manhattan,2,2,uniform,0.614,0.614,0.712,0.413
manhattan,2,2,distance,0.616,0.616,0.626,0.615
manhattan,3,1,uniform,0.662,0.662,0.669,0.660
manhattan,3,1,distance,0.647,0.647,0.656,0.639
manhattan,3,2,uniform,0.662,0.662,0.669,0.660
manhattan,3,2,distance,0.647,0.647,0.656,0.639
manhattan,4,1,uniform,0.675,0.675,0.738,0.557
manhattan,4,1,distance,0.656,0.656,0.666,0.651
manhattan,4,2,uniform,0.675,0.675,0.738,0.557
manhattan,4,2,distance,0.656,0.656,0.666,0.651
manhattan,5,1,uniform,0.689,0.689,0.702,0.678
manhattan,5,1,distance,0.676,0.676,0.686,0.671
manhattan,5,2,uniform,0.689,0.689,0.702,0.678
manhattan,5,2,distance,0.676,0.676,0.686,0.671
manhattan,6,1,uniform,0.711,0.711,0.773,0.611
manhattan,6,1,distance,0.671,0.671,0.683,0.660
manhattan,6,2,uniform,0.711,0.711,0.773,0.611
manhattan,6,2,distance,0.671,0.671,0.683,0.660
manhattan,7,1,uniform,0.702,0.702,0.721,0.681
manhattan,7,1,distance,0.684,0.684,0.696,0.674
manhattan,7,2,uniform,0.702,0.702,0.721,0.681
manhattan,7,2,distance,0.684,0.684,0.696,0.674
manhattan,8,1,uniform,0.698,0.698,0.749,0.611
manhattan,8,1,distance,0.673,0.673,0.688,0.653
manhattan,8,2,uniform,0.698,0.698,0.749,0.611
manhattan,8,2,distance,0.673,0.673,0.688,0.653
manhattan,9,1,uniform,0.699,0.699,0.714,0.678
manhattan,9,1,distance,0.673,0.673,0.689,0.648
manhattan,9,2,uniform,0.699,0.699,0.714,0.678
manhattan,9,2,distance,0.673,0.673,0.689,0.648
manhattan,10,1,uniform,0.700,0.700,0.740,0.632
manhattan,10,1,distance,0.680,0.680,0.695,0.660
manhattan,10,2,uniform,0.700,0.700,0.740,0.632
manhattan,10,2,distance,0.680,0.680,0.695,0.660
manhattan,11,1,uniform,0.708,0.708,0.721,0.695
manhattan,11,1,distance,0.687,0.687,0.705,0.660
manhattan,11,2,uniform,0.708,0.708,0.721,0.695
manhattan,11,2,distance,0.687,0.687,0.705,0.660
manhattan,12,1,uniform,0.720,0.720,0.763,0.650
manhattan,12,1,distance,0.680,0.680,0.699,0.650
manhattan,12,2,uniform,0.720,0.720,0.763,0.650
manhattan,12,2,distance,0.680,0.680,0.699,0.650
manhattan,13,1,uniform,0.724,0.724,0.750,0.683
manhattan,13,1,distance,0.693,0.693,0.715,0.655
manhattan,13,2,uniform,0.724,0.724,0.750,0.683
manhattan,13,2,distance,0.693,0.693,0.715,0.655
manhattan,14,1,uniform,0.724,0.724,0.772,0.648
manhattan,14,1,distance,0.689,0.689,0.712,0.653
manhattan,14,2,uniform,0.724,0.724,0.772,0.648
manhattan,14,2,distance,0.689,0.689,0.712,0.653
manhattan,15,1,uniform,0.718,0.718,0.748,0.669
manhattan,15,1,distance,0.691,0.691,0.717,0.643
manhattan,15,2,uniform,0.718,0.718,0.748,0.669
manhattan,15,2,distance,0.691,0.691,0.717,0.643
manhattan,16,1,uniform,0.715,0.715,0.763,0.639
manhattan,16,1,distance,0.695,0.695,0.722,0.650
manhattan,16,2,uniform,0.715,0.715,0.763,0.639
manhattan,16,2,distance,0.695,0.695,0.722,0.650
manhattan,17,1,uniform,0.721,0.721,0.756,0.667
manhattan,17,1,distance,0.694,0.694,0.726,0.639
manhattan,17,2,uniform,0.721,0.721,0.756,0.667
manhattan,17,2,distance,0.694,0.694,0.726,0.639
manhattan,18,1,uniform,0.717,0.717,0.771,0.629
manhattan,18,1,distance,0.697,0.697,0.724,0.648
manhattan,18,2,uniform,0.717,0.717,0.771,0.629
manhattan,18,2,distance,0.697,0.697,0.724,0.648
manhattan,19,1,uniform,0.719,0.719,0.751,0.667
manhattan,19,1,distance,0.694,0.694,0.721,0.648
manhattan,19,2,uniform,0.719,0.719,0.751,0.667
manhattan,19,2,distance,0.694,0.694,0.721,0.648
manhattan,20,1,uniform,0.712,0.712,0.762,0.627
manhattan,20,1,distance,0.696,0.696,0.724,0.648
manhattan,20,2,uniform,0.712,0.712,0.762,0.627
manhattan,20,2,distance,0.696,0.696,0.724,0.648
manhattan,21,1,uniform,0.714,0.714,0.750,0.655
manhattan,21,1,distance,0.699,0.699,0.731,0.643
manhattan,21,2,uniform,0.714,0.714,0.750,0.655
manhattan,21,2,distance,0.699,0.699,0.731,0.643
