Parámetros,mean_test_f1_micro,mean_test_accuracy,mean_test_precision_micro,mean_test_recall_micro
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.819,0.819,0.819,0.819
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.849,0.849,0.849,0.849
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 10, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.843,0.843,0.843,0.843
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.854,0.854,0.854,0.854
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.849,0.849,0.849,0.849
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.831,0.831,0.831,0.831
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 11, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.889,0.889,0.889,0.889
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.843,0.843,0.843,0.843
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.819,0.819,0.819,0.819
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'gini', 'param_max_depth': 12, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.785,0.785,0.785,0.785
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.866,0.866,0.866,0.866
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.848,0.848,0.848,0.848
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.767,0.767,0.767,0.767
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 13, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.785,0.785,0.785,0.785
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.837,0.837,0.837,0.837
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.831,0.831,0.831,0.831
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.814,0.814,0.814,0.814
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'gini', 'param_max_depth': 14, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.791,0.791,0.791,0.791
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.878,0.878,0.878,0.878
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.820,0.820,0.820,0.820
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.808,0.808,0.808,0.808
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.902,0.902,0.902,0.902
"{'param_criterion': 'gini', 'param_max_depth': 15, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.808,0.808,0.808,0.808
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.878,0.878,0.878,0.878
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.813,0.813,0.813,0.813
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.843,0.843,0.843,0.843
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 16, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.796,0.796,0.796,0.796
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.884,0.884,0.884,0.884
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.819,0.819,0.819,0.819
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.867,0.867,0.867,0.867
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 7, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 17, 'param_min_samples_leaf': 7, 'param_splitter': 'random'}",0.778,0.778,0.778,0.778
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 4, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 4, 'param_splitter': 'random'}",0.872,0.872,0.872,0.872
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 5, 'param_splitter': 'best'}",0.907,0.907,0.907,0.907
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 5, 'param_splitter': 'random'}",0.831,0.831,0.831,0.831
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 6, 'param_splitter': 'best'}",0.913,0.913,0.913,0.913
"{'param_criterion': 'gini', 'param_max_depth': 18, 'param_min_samples_leaf': 6, 'param_splitter': 'random'}",0.807,0.807,0.807,0.807
